genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
scorpaena,pascuensis,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
serranus,scriba,1.0,1.0,5,150,?,30,,,,,,,,,,,,,,,,,,,
satanoperca,leucosticta,,,,,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
labeobarbus,intermedius,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
diodon,holocanthus,,1.0,2,200,2,35,,,,,,,1.0,,,,,,,,,,,,
batrochoglanis,transmontanus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
enteromius,huguenyi,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
daysciaena,albida,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
harengula,clupeola,,1.0,0,50,,,,,,,,,1.0,,,1.0,,,,,,,,,
hirculops,cornifer,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
cyclichthys,orbicularis,,1.0,9,170,,,,,,,,,1.0,,,,,,,,,,,,
megalodoras,uranoscopus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
amphiprion,frenatus,,1.0,1,12,,,,,,,,,1.0,,,,1.0,,,,,,,,
labeobarbus,boulengeri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gymnothorax,pseudothyrsoideus,,1.0,0,20,,,,,,,,,1.0,,,,,,,,,,,,
barbus,luapulae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
halichoeres,hartzfeldii,,1.0,10,70,,,,,,,,,1.0,,,,,,,,,,,,
norfolkia,thomasi,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
labeobarbus,ensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
copadichromis,trimaculatus,,,,,,,1.0,1.0,7.4,7.4,7.0,7.0,,,,,,,,,,,,,
labeobarbus,codringtonii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cyprinella,trichroistia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,heterolepis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
petrocephalus,bane,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
chrosomus,erythrogaster,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
plectroglyphidodon,johnstonianus,,1.0,0,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
bryconamericus,guyanensis,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
atule,mate,,1.0,1,80,,,,,,,,,1.0,,,1.0,,,,,,,,,
cyprinella,callisema,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
calotomus,spinidens,,1.0,1,72,,,,,,,,,1.0,,,,,,,,,,,,
fusigobius,inframaculatus,1.0,1.0,2,30,,,,,,,,,,,,,,,,,,,,,
lutjanus,malabaricus,,1.0,12,100,,,,,,,,,1.0,,,1.0,,,,,,,,,
aulonocara,maylandi,,,,,,,1.0,1.0,7.5,7.5,10.0,10.0,,,,,,,,,,,,,
mylossoma,duriventre,,,,,,,1.0,1.0,5.0,5.0,20.0,20.0,,,,,,1.0,,,,,,,
schistura,pantherina,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
thysanophrys,chiltonae,,1.0,0,100,0,20,,,,,,,1.0,,,,1.0,,,,,,,,
neobythites,pallidus,,1.0,500,620,,,,,,,,,,,,,,,1.0,,,,,,
entomacrodus,sealei,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
mulloidichthys,flavolineatus,,1.0,1,99,,,,,,,,,1.0,,,,,,,,,,,,
hexanchus,griseus,,1.0,0,2500,180,1100,,,,,,,,,,,,,1.0,1.0,,,,,
sarotherodon,occidentalis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
phractolaemus,ansorgii,,,,,,,1.0,1.0,6.0,6.0,25.0,25.0,,,,,,,,,,,,,
ctenogobiops,tangaroai,,1.0,4,40,4,40,,,,,,,1.0,,,,,,,,,,,,
ilisha,elongata,,1.0,5,?,,,,,,,,,,,,1.0,,,,,1.0,,,,
alosa,sapidissima,,1.0,0,250,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
scarus,frenatus,,1.0,0,25,,,,,,,,,1.0,,,,,,,,,,,,
sebastapistes,tinkhami,,1.0,1,30,,,,,,,,,1.0,,,,,,,,,,,,
antennarius,pictus,,1.0,0,75,?,16,,,,,,,1.0,,,,,,,,,,,,
halichoeres,cosmetus,,1.0,2,31,,,,,,,,,1.0,,,,,,,,,,,,
sphoeroides,parvus,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
syncrossus,hymenophysa,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
entomacrodus,thalassinus,,1.0,0,5,,,,,,,,,1.0,,,,,,,,,,,,
alestes,baremoze,,,,,,,1.0,1.0,6.5,6.5,30.0,30.0,,,,,,1.0,,,,,,,
chaunacops,coloratus,,1.0,1250,2000,,,,,,,,,,,,,,,1.0,,,,,,
pararhinichthys,bowersi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
crossocheilus,langei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
tilapia,baloni,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
chaetostoma,breve,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
homalopteroides,smithi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
garra,hindii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepadichthys,lineatus,,1.0,5,25,,,,,,,,,1.0,,,,,,,,,,,,
lepomis,punctatus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
chaetodon,citrinellus,,1.0,0,36,1,5,,,,,,,1.0,,,,,,,,,,,,
notropis,atherinoides,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
macropharyngodon,geoffroy,,1.0,6,32,,,,,,,,,1.0,,,,1.0,,,,,,,,
pseudophoxinus,drusensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
thoburnia,rhothoeca,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
australoheros,autochthon,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
tylochromis,bangwelensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
blenniella,chrysospilos,,1.0,0,6,,,,,,,,,1.0,,,,,,,,,,,,
scorpaenopsis,oxycephala,,1.0,?,400,,,,,,,,,1.0,,,,,,,,,,,,
acanthopagrus,australis,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
toxotes,microlepis,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,
opistognathus,randalli,,1.0,5,32,,,,,,,,,,,,,,,,,1.0,,,,
rasbora,bankanensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
morone,americana,,1.0,0,10,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
labropsis,manabei,,1.0,5,30,5,20,,,,,,,1.0,,,,,,,,,,,,
hippocampus,reidi,,1.0,0,60,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
macrhybopsis,hyostoma,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
osmerus,mordax,,1.0,0,425,?,150,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,
