genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
parascolopsis,eriomma,nemipteridae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,25.0,264.0,,,,,,,https://www.fishbase.org/summary/Parascolopsis_eriomma.html
serranus,cabrilla,serranidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,5.0,500.0,,,,,,,https://www.fishbase.se/summary/Serranus_cabrilla.html
chrysiptera,brownriggii,Pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,0.0,12.0,,,,,,,https://www.fishbase.de/summary/Chrysiptera_brownriggii.html
lethrinus,lentjan,Cyprinidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,10.0,90.0,,,,,,,https://www.fishbase.ca/summary/Lethrinus_lentjan.html
notropis,chlorocephalus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Notropis_chlorocephalus.html
nemipterus,nemurus,nemipteridae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,https://www.fishbase.org/summary/Nemipterus_nemurus.html
gambusia,puncticulata,poeciliidae,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,https://www.fishbase.se/summary/Gambusia_puncticulata.html
cyphocharax,santacatarinae,curimatidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Cyphocharax_santacatarinae.html
epinephelus,polyphekadion,Serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,0.0,50.0,,,,,,,https://www.fishbase.ca/summary/Epinephelus_polyphekadion.html
notropis,ariommus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,?,,,,,,,https://www.fishbase.net.br/summary/Notropis_ariommus.html
pseudojuloides,erythrops,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,52.0,57.0,,,,,,,https://www.fishbase.de/summary/Pseudojuloides_erythrops.html
plectorhinchus,vittatus,Haemulidae,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,25.0,,,,,,,https://www.fishbase.org/summary/Plectorhinchus_vittatus.html
chaetodon,kleinii,chaetodontidae,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,90.0,10.0,?,,,,,https://www.fishbase.se/summary/Chaetodon_kleinii.html
canthigaster,leoparda,tetraodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,30.0,100.0,,,,,,,https://www.fishbase.net.br/summary/Canthigaster_leoparda.html
stalix,versluysi,opistognathidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,15.0,45.0,,,,,,,https://www.fishbase.ca/summary/Stalix_versluysi.html
nannocharax,lineomaculatus,distichodontidae,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.org/summary/Nannocharax_lineomaculatus.html
anampses,cuvier,Labridae,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,26.0,,,,,,,https://www.fishbase.se/summary/Anampses_cuvier.html
scarus,forsteni,Scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,30.0,,,,,,,https://www.fishbase.de/summary/Scarus_forsteni.html
acanthurus,dussumieri,acanthuridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,4.0,131.0,9.0,130.0,,,,,https://www.fishbase.net.br/summary/Acanthurus_dussumieri.html
parodon,nasus,parodontidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.2,7.2,,,https://www.fishbase.ca/summary/Parodon_nasus.html
pseudorhombus,arsius,paralichthyidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,0.0,200.0,,,,,,,https://www.fishbase.ca/summary/Pseudorhombus_arsius.html
stanulus,seychellensis,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,8.0,,,,,,,https://www.fishbase.ca/summary/Stanulus_seychellensis.html
notropis,chiliticus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Notropis_chiliticus.html
